chart_year,chart_code,chart_date,rank,title,artist,source_url
2023,hot100,2023-01-04,1,Subtitle,Official髭男dism,https://www.billboard-japan.com/charts/detail?a=hot100&year=2023&month=01&day=09
2023,hot100,2023-01-04,2,KICK BACK,米津玄師,https://www.billboard-japan.com/charts/detail?a=hot100&year=2023&month=01&day=09
2023,hot100,2023-01-04,3,新時代 (ウタ from ONE PIECE FILM RED),Ado,https://www.billboard-japan.com/charts/detail?a=hot100&year=2023&month=01&day=09
2023,hot100,2023-01-04,4,Habit,SEKAI NO OWARI,https://www.billboard-japan.com/charts/detail?a=hot100&year=2023&month=01&day=09
2023,hot100,2023-01-04,5,ミックスナッツ,Official髭男dism,https://www.billboard-japan.com/charts/detail?a=hot100&year=2023&month=01&day=09
2023,hot100,2023-01-04,6,第ゼロ感,10-FEET,https://www.billboard-japan.com/charts/detail?a=hot100&year=2023&month=01&day=09
2023,hot100,2023-01-04,7,W / X / Y,Tani Yuuki,https://www.billboard-japan.com/charts/detail?a=hot100&year=2023&month=01&day=09
2023,hot100,2023-01-04,8,ダンスホール,Mrs.GREEN APPLE,https://www.billboard-japan.com/charts/detail?a=hot100&year=2023&month=01&day=09
2023,hot100,2023-01-04,9,Overdose,なとり,https://www.billboard-japan.com/charts/detail?a=hot100&year=2023&month=01&day=09
2023,hot100,2023-01-04,10,First Love,宇多田ヒカル,https://www.billboard-japan.com/charts/detail?a=hot100&year=2023&month=01&day=09
2023,hot100,2023-01-04,11,Sleeping Beauty,ボイメンエリア研究生,https://www.billboard-japan.com/charts/detail?a=hot100&year=2023&month=01&day=09
2023,hot100,2023-01-04,12,渡り鳥たちに空は見えない,NGT48,https://www.billboard-japan.com/charts/detail?a=hot100&year=2023&month=01&day=09
2023,hot100,2023-01-04,13,シンデレラボーイ,Saucy Dog,https://www.billboard-japan.com/charts/detail?a=hot100&year=2023&month=01&day=09
2023,hot100,2023-01-04,14,私は最強 (ウタ from ONE PIECE FILM RED),Ado,https://www.billboard-japan.com/charts/detail?a=hot100&year=2023&month=01&day=09
2023,hot100,2023-01-04,15,残響散歌,Aimer(エメ),https://www.billboard-japan.com/charts/detail?a=hot100&year=2023&month=01&day=09
2023,hot100,2023-01-04,16,アイラブユー,back number,https://www.billboard-japan.com/charts/detail?a=hot100&year=2023&month=01&day=09
2023,hot100,2023-01-04,17,祝福,YOASOBI,https://www.billboard-japan.com/charts/detail?a=hot100&year=2023&month=01&day=09
2023,hot100,2023-01-04,18,Ditto,NewJeans,https://www.billboard-japan.com/charts/detail?a=hot100&year=2023&month=01&day=09
2023,hot100,2023-01-04,19,水平線,back number,https://www.billboard-japan.com/charts/detail?a=hot100&year=2023&month=01&day=09
2023,hot100,2023-01-04,20,なんでもないよ、,マカロニえんぴつ,https://www.billboard-japan.com/charts/detail?a=hot100&year=2023&month=01&day=09
2023,hot100,2023-01-04,21,ドライフラワー,優里,https://www.billboard-japan.com/charts/detail?a=hot100&year=2023&month=01&day=09
2023,hot100,2023-01-04,22,Soranji,Mrs.GREEN APPLE,https://www.billboard-japan.com/charts/detail?a=hot100&year=2023&month=01&day=09
2023,hot100,2023-01-04,23,ベテルギウス,優里,https://www.billboard-japan.com/charts/detail?a=hot100&year=2023&month=01&day=09
2023,hot100,2023-01-04,24,クリスマスソング,back number,https://www.billboard-japan.com/charts/detail?a=hot100&year=2023&month=01&day=09
