chart_year,chart_code,chart_date,rank,title,artist,source_url
2023,dlsongs,2023-01-04,1,Subtitle,Official髭男dism,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2023&month=01&day=09
2023,dlsongs,2023-01-04,2,Habit,SEKAI NO OWARI,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2023&month=01&day=09
2023,dlsongs,2023-01-04,3,新時代 (ウタ from ONE PIECE FILM RED),Ado,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2023&month=01&day=09
2023,dlsongs,2023-01-04,4,第ゼロ感,10-FEET,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2023&month=01&day=09
2023,dlsongs,2023-01-04,5,KICK BACK,米津玄師,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2023&month=01&day=09
2023,dlsongs,2023-01-04,6,ファイトソング,Eve,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2023&month=01&day=09
2023,dlsongs,2023-01-04,7,All yours,聖川真斗(鈴村健一),https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2023&month=01&day=09
2023,dlsongs,2023-01-04,8,星座になれたら,結束バンド,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2023&month=01&day=09
2023,dlsongs,2023-01-04,9,ダンスホール,Mrs.GREEN APPLE,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2023&month=01&day=09
2023,dlsongs,2023-01-04,10,ミックスナッツ,Official髭男dism,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2023&month=01&day=09
2023,dlsongs,2023-01-04,11,祝福,YOASOBI,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2023&month=01&day=09
2023,dlsongs,2023-01-04,12,残響散歌,Aimer(エメ),https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2023&month=01&day=09
2023,dlsongs,2023-01-04,13,アイラブユー,back number,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2023&month=01&day=09
2023,dlsongs,2023-01-04,14,スターマイン,Da-iCE,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2023&month=01&day=09
2023,dlsongs,2023-01-04,15,メリーゴーランド,優里,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2023&month=01&day=09
