chart_year,chart_code,chart_date,rank,title,artist,source_url
2017,dlsongs,2017-10-04,1,Hero,安室奈美恵,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,2,恋のはじまり,家入レオ×大原櫻子×藤原さくら,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,3,打上花火,DAOKO × 米津玄師,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,4,ASH,LiSA,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,5,"君のことが好きだったんだ feat.BENI,Shuta Sueyoshi(AAA) & HAN-KUN",SPICY CHOCOLATE,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,6,Family Song,星野源,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,7,Love Story,安室奈美恵,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,8,いつかできるから今日できる,乃木坂46,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,9,HANABI,Mr.Children,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,10,BLACK MEMORY,THE ORAL CIGARETTES,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,11,普通の今夜のことを-let tonight be forever remembered-,三浦大知,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,12,CAN YOU CELEBRATE?,安室奈美恵,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,13,LIFE,AAA,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,14,やってみよう,WANIMA,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,15,カット・トゥ・ザ・フィーリング,カーリー・レイ・ジェプセン,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,16,シェイプ・オブ・ユー,エド・シーラン,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,17,DROP,U-KNOW,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,18,Don't wanna cry,安室奈美恵,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,19,Route 66,EXILE THE SECOND,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,20,Forevermore,宇多田ヒカル,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,21,聖域,福山雅治,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,22,ピースサイン,米津玄師,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,23,Baby Don't Cry,安室奈美恵,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,24,Just You and I,安室奈美恵,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,25,逢いたくていま,MISIA,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,26,himawari,Mr.Children,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,27,恋,星野源,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,28,ずっと、ふたりで,家入レオ,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,29,Time Lapse,Poppin'Party,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,30,ともに,WANIMA,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,31,記念撮影,BUMP OF CHICKEN,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,32,RAIN,SEKAI NO OWARI,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,33,夏のドーン!,Poppin'Party,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,34,八月のif,Poppin'Party,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,35,恋ノ夢。 feat.erica,ハジ→,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,36,前前前世,RADWIMPS,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,37,NEVER END,安室奈美恵,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,38,Glory Days,尾崎裕哉,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,39,WanteD! WanteD!,Mrs.GREEN APPLE,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,40,リボン,BUMP OF CHICKEN,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,41,恋は永遠,銀杏BOYZ,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,42,空に歌えば,amazarashi,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,43,SWEET 19 BLUES,安室奈美恵,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,44,アイネクライネ,米津玄師,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,45,Chase the Chance,安室奈美恵,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,46,Wherever you are,ONE OK ROCK,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,47,Body Feels EXIT,安室奈美恵,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,48,a walk in the park,安室奈美恵,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,49,ルナティックDEStiNy,如月ルヰ(蒼井翔太),https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,50,抱きしめたい,Mr.Children,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,51,若い広場,桑田佳祐,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,52,Vivi℃ Heart Session!,"エーデルローズ新入生(寺島惇太,斉藤壮馬,畠中祐,八代拓,五十嵐雅,永塚拓馬,内田雄馬)",https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,53,英雄 運命の詩,EGOIST,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,54,"10% roll, 10% romance",UNISON SQUARE GARDEN,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,55,ダーティ・ワーク,オースティン・マホーン,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,56,REBORN,山下達郎,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,57,TRY ME〜私を信じて〜,安室奈美恵 with SUPER MONKEY'S,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,58,Take what you want feat.5 Seconds of Summer,ONE OK ROCK,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,59,シュガーソングとビターステップ,UNISON SQUARE GARDEN,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,60,サイレントマジョリティー,欅坂46,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,61,ひまわりの約束,秦基博,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,62,パーフェクト・ビューティー,オースティン・マホーン,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,63,CRAZY GONNA CRAZY,一条シン(寺島惇太)&如月ルヰ(蒼井翔太),https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,64,TO LOVE YOU MORE,セリーヌ・ディオン/クライズラー&カンパニー,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,65,pride -KING OF PRISM ver.-,速水ヒロ(前野智昭),https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,66,ユメマカセ,"SOIL & ""PIMP"" SESSIONS feat.Yojiro Noda",https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,67,Soda Water,唾奇,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,68,Blue Horizon,Trident,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,69,ルック・ホワット・ユー・メイド・ミー・ドゥ〜私にこんなマネ、させるなんて,テイラー・スウィフト,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,70,LOSER,米津玄師,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,71,Be The One,PANDORA feat.Beverly,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,72,恋するユニバース,SCANDAL,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,73,Anniversary,ウカスカジー,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,74,虹色CROWN,Over The Rainbow(柿原徹也&前野智昭&増田俊樹),https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
2017,dlsongs,2017-10-04,75,ミチシルベ,Rihwa,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2017&month=10&day=09
