chart_year,chart_code,chart_date,rank,title,artist,source_url
2017,hot100,2017-01-04,1,恋,星野源,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,2,僕以外の誰か,NMB48,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,3,前前前世,RADWIMPS,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,4,ありがとう,SMAP,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,5,PPAP(ペンパイナッポーアッポーペン),ピコ太郎,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,6,世界に一つだけの花,SMAP,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,7,ハッピーエンド,back number,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,8,サイレントマジョリティー,欅坂46,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,9,二人セゾン,欅坂46,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,10,サヨナラの意味,乃木坂46,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,11,God's S.T.A.R.,QUARTET NIGHT,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,12,Welcome to TOKYO,三代目 J Soul Brothers from EXILE TRIBE,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,13,アンサー,BUMP OF CHICKEN,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,14,SUN,星野源,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,15,Dear Bride,西野カナ,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,16,Don't be Afraid,L'Arc〜en〜Ciel,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,17,Give Me Love,Hey!Say!JUMP,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,18,花束を君に,宇多田ヒカル,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,19,海の声,浦島太郎(桐谷健太),https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,20,紅,X,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,21,君への手紙,桑田佳祐,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,22,24K・マジック,ブルーノ・マーズ,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,23,不滅のインフェルノ,HE★VENS,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,24,砂の塔,THE YELLOW MONKEY,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,25,ヒロイン,back number,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,26,色彩,坂本真綾,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,27,あなたの好きなところ,西野カナ,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,28,Hero,安室奈美恵,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,29,なんでもないや,RADWIMPS,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,30,STAY TUNE,Suchmos,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,31,ケアレス・ウィスパー,ジョージ・マイケル,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,32,クローサー feat.ホールジー,チェインスモーカーズ,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,33,FLASH,Perfume,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,34,stage,雨のパレード,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,35,みんながみんな英雄,AI,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,36,ラスト・クリスマス,ワム!,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,37,LAST DANCE,BIGBANG,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,38,恋人たちのクリスマス,マイケル・ブーブレ,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,39,ハイテンション,AKB48,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,40,TT,TWICE,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,41,FXXK IT,BIGBANG,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,42,STAY,SMAP,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,43,GO,BUMP OF CHICKEN,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,44,クリスマスソング,back number,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,45,道,宇多田ヒカル,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,46,夜空ノムコウ,SMAP,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,47,365日の紙飛行機,AKB48,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,48,フェイス,ジョージ・マイケル,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,49,MAGIC,AAA,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,50,なんでもないや,上白石萌音,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,51,NOROSHI,関ジャニ∞[エイト],https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,52,BEST FRIEND,SMAP,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,53,オリジナル・スマイル,SMAP,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,54,あいたい,林部智史,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,55,shake,SMAP,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,56,Winter Wonderland,SHINee,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,57,トリセツ,西野カナ,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
2017,hot100,2017-01-04,58,スパークル,RADWIMPS,https://www.billboard-japan.com/charts/detail?a=hot100&year=2017&month=01&day=09
