chart_year,chart_code,chart_date,rank,title,artist,source_url
2020,stsongs,2020-01-01,1,Pretender,Official髭男dism,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2020&month=01&day=06
2020,stsongs,2020-01-01,2,白日,King Gnu,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2020&month=01&day=06
2020,stsongs,2020-01-01,3,宿命,Official髭男dism,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2020&month=01&day=06
2020,stsongs,2020-01-01,4,イエスタデイ,Official髭男dism,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2020&month=01&day=06
2020,stsongs,2020-01-01,5,紅蓮華,LiSA,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2020&month=01&day=06
2020,stsongs,2020-01-01,6,Teenager Forever,King Gnu,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2020&month=01&day=06
2020,stsongs,2020-01-01,7,クリスマスソング,back number,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2020&month=01&day=06
2020,stsongs,2020-01-01,8,まちがいさがし,菅田将暉,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2020&month=01&day=06
2020,stsongs,2020-01-01,9,マリーゴールド,あいみょん,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2020&month=01&day=06
2020,stsongs,2020-01-01,10,ノーダウト,Official髭男dism,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2020&month=01&day=06
2020,stsongs,2020-01-01,11,115万キロのフィルム,Official髭男dism,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2020&month=01&day=06
2020,stsongs,2020-01-01,12,Rat-tat-tat,三代目 J SOUL BROTHERS from EXILE TRIBE,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2020&month=01&day=06
2020,stsongs,2020-01-01,13,インフェルノ,Mrs.GREEN APPLE,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2020&month=01&day=06
2020,stsongs,2020-01-01,14,傘,King Gnu,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2020&month=01&day=06
2020,stsongs,2020-01-01,15,パプリカ,Foorin,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2020&month=01&day=06
2020,stsongs,2020-01-01,16,飛行艇,King Gnu,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2020&month=01&day=06
2020,stsongs,2020-01-01,17,恋人たちのクリスマス,マライア・キャリー,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2020&month=01&day=06
2020,stsongs,2020-01-01,18,Stand By You,Official髭男dism,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2020&month=01&day=06
2020,stsongs,2020-01-01,19,願い,sumika,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2020&month=01&day=06
2020,stsongs,2020-01-01,20,高嶺の花子さん,back number,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2020&month=01&day=06
2020,stsongs,2020-01-01,21,Turning Up,嵐,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2020&month=01&day=06
2020,stsongs,2020-01-01,22,さよならエレジー,菅田将暉,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2020&month=01&day=06
2020,stsongs,2020-01-01,23,君はロックを聴かない,あいみょん,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2020&month=01&day=06
2020,stsongs,2020-01-01,24,おやすみ,Nissy(西島隆弘),https://www.billboard-japan.com/charts/detail?a=stsongs&year=2020&month=01&day=06
