chart_year,chart_code,chart_date,rank,title,artist,source_url
2018,dlsongs,2018-01-03,1,瞬き,back number,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2018&month=01&day=08
2018,dlsongs,2018-01-03,2,あなた,宇多田ヒカル,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2018&month=01&day=08
2018,dlsongs,2018-01-03,3,72,新しい地図,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2018&month=01&day=08
2018,dlsongs,2018-01-03,4,メルト 10th ANNIVERSARY MIX,ryo(supercell) × やなぎなぎ,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2018&month=01&day=08
2018,dlsongs,2018-01-03,5,打上花火,DAOKO × 米津玄師,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2018&month=01&day=08
2018,dlsongs,2018-01-03,6,ダンシング・ヒーロー,荻野目洋子,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2018&month=01&day=08
2018,dlsongs,2018-01-03,7,Jupiter,Little Glee Monster,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2018&month=01&day=08
2018,dlsongs,2018-01-03,8,ノンフィクション,平井堅,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2018&month=01&day=08
2018,dlsongs,2018-01-03,9,Hero,安室奈美恵,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2018&month=01&day=08
2018,dlsongs,2018-01-03,10,楓,スピッツ,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2018&month=01&day=08
2018,dlsongs,2018-01-03,11,クリスマスソング,back number,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2018&month=01&day=08
2018,dlsongs,2018-01-03,12,ともに,WANIMA,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2018&month=01&day=08
2018,dlsongs,2018-01-03,13,渡月橋〜君 想ふ〜,倉木麻衣,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2018&month=01&day=08
2018,dlsongs,2018-01-03,14,EXCITE,三浦大知,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2018&month=01&day=08
2018,dlsongs,2018-01-03,15,明日も,SHISHAMO,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2018&month=01&day=08
2018,dlsongs,2018-01-03,16,風に吹かれても,欅坂46,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2018&month=01&day=08
2018,dlsongs,2018-01-03,17,インフルエンサー,乃木坂46,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2018&month=01&day=08
2018,dlsongs,2018-01-03,18,灰色と青(+ 菅田将暉),米津玄師,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2018&month=01&day=08
2018,dlsongs,2018-01-03,19,TT,TWICE,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2018&month=01&day=08
2018,dlsongs,2018-01-03,20,おとなの掟,椎名林檎と松崎ナオ,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2018&month=01&day=08
2018,dlsongs,2018-01-03,21,Family Song,星野源,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2018&month=01&day=08
2018,dlsongs,2018-01-03,22,Reboot,東方神起,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2018&month=01&day=08
2018,dlsongs,2018-01-03,23,ヒューマン,WANIMA,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2018&month=01&day=08
2018,dlsongs,2018-01-03,24,よー、そこの若いの,竹原ピストル,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2018&month=01&day=08
2018,dlsongs,2018-01-03,25,やってみよう,WANIMA,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2018&month=01&day=08
2018,dlsongs,2018-01-03,26,恋,星野源,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2018&month=01&day=08
2018,dlsongs,2018-01-03,27,Princess Be Ambitious!!,プリンセススターズ,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2018&month=01&day=08
2018,dlsongs,2018-01-03,28,Here,JUNNA,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2018&month=01&day=08
2018,dlsongs,2018-01-03,29,ピースサイン,米津玄師,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2018&month=01&day=08
2018,dlsongs,2018-01-03,30,愛をこめて花束を,Superfly,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2018&month=01&day=08
2018,dlsongs,2018-01-03,31,今宵の月のように,エレファントカシマシ,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2018&month=01&day=08
2018,dlsongs,2018-01-03,32,ハッピーエンド,back number,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2018&month=01&day=08
2018,dlsongs,2018-01-03,33,シェイプ・オブ・ユー,エド・シーラン,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2018&month=01&day=08
2018,dlsongs,2018-01-03,34,fake town baby,UNISON SQUARE GARDEN,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2018&month=01&day=08
2018,dlsongs,2018-01-03,35,キラキラ feat.カンナ,AI,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2018&month=01&day=08
2018,dlsongs,2018-01-03,36,RAIN,SEKAI NO OWARI,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2018&month=01&day=08
2018,dlsongs,2018-01-03,37,パレス,サム・スミス,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2018&month=01&day=08
2018,dlsongs,2018-01-03,38,ダーティ・ワーク,オースティン・マホーン,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2018&month=01&day=08
2018,dlsongs,2018-01-03,39,奇蹟,Uru,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2018&month=01&day=08
2018,dlsongs,2018-01-03,40,愛が呼ぶほうへ,ポルノグラフィティ,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2018&month=01&day=08
2018,dlsongs,2018-01-03,41,清廉なるHeretics,毛蟹 feat.DracoVirgo,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2018&month=01&day=08
2018,dlsongs,2018-01-03,42,"One more time, One more chance",山崎まさよし,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2018&month=01&day=08
2018,dlsongs,2018-01-03,43,君氏危うくも近うよれ,A応P,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2018&month=01&day=08
2018,dlsongs,2018-01-03,44,Heart Shaker,TWICE,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2018&month=01&day=08
2018,dlsongs,2018-01-03,45,DNA,BTS (防弾少年団),https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2018&month=01&day=08
2018,dlsongs,2018-01-03,46,orion,米津玄師,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2018&month=01&day=08
