chart_year,chart_code,chart_date,rank,title,artist,source_url
2026,hot100,2026-01-07,1,IRIS OUT,米津玄師,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,2,&Joy,Kis-My-Ft2,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,3,Blue Jeans,HANA,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,4,ROSE,HANA,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,5,好きすぎて滅!,M!LK,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,6,革命道中,アイナ・ジ・エンド,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,7,ダーリン,Mrs.GREEN APPLE,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,8,カリスマックス,Snow Man,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,9,JANE DOE,"米津玄師, 宇多田ヒカル",https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,10,怪獣,サカナクション,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,11,NON STOP,HANA,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,12,夢中,BE:FIRST,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,13,ファンファーレ,玉置浩二,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,14,Theater,King & Prince,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,15,GOOD DAY,Mrs.GREEN APPLE,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,16,ズー,シャキーラ,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,17,Golden,HUNTR/X,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,18,Make Me Wonder,Official髭男dism,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,19,倍倍FIGHT!,CANDY TUNE,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,20,ブルーアンバー,back number,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,21,クスシキ,Mrs.GREEN APPLE,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,22,My Body,HANA,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,23,ライラック,Mrs.GREEN APPLE,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,24,シルエット,KANA-BOON,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,25,木星 feat. 稲葉浩志,福山雅治,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,26,恋風,幾田りら,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,27,Tiger,HANA,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,28,とくべチュ、して,=LOVE,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,29,アゲハ蝶,ポルノグラフィティ,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,30,Drop,HANA,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,31,どうしてもどうしても,back number,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,32,イイじゃん,M!LK,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,33,BAD LOVE,HANA,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,34,怪獣の花唄,Vaundy,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,35,Burning Flower,HANA,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,36,SAD SONG,ちゃんみな,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,37,呼び声,Vaundy,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,38,Almond Chocolate,ILLIT,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,39,街灯,BE:FIRST,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,40,プロポーズ,なとり,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,41,イケナイ太陽,ORANGE RANGE,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,42,希望の丘,King & Prince,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,43,Soranji,Mrs.GREEN APPLE,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,44,ハレンチ,ちゃんみな,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,45,ケセラセラ,Mrs.GREEN APPLE,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,46,クリスマスソング,back number,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,47,はちゃめちゃわちゃライフ!,FRUITS ZIPPER,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,48,笑ったり転んだり,ハンバート ハンバート,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,49,Plazma,米津玄師,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,50,breakfast,Mrs.GREEN APPLE,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,51,水平線,back number,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,52,楓,スピッツ,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,53,StaRt,Mrs.GREEN APPLE,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,54,I,BUMP OF CHICKEN,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,55,ヒロイン,back number,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,56,新宝島,サカナクション,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,57,愛のかたまり,KinKi Kids,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,58,1991,米津玄師,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,59,ラブソングに襲われる,=LOVE,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,60,Tokimeki,Vaundy,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,61,サウダージ,ポルノグラフィティ,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,62,点描の唄 feat.井上苑子,Mrs.GREEN APPLE,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,63,Sanitizer,Official髭男dism,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,64,高嶺の花子さん,back number,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,65,らしさ,Official髭男dism,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,66,織姫とBABY feat. 汐れいら,ねぐせ。,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,67,SAD SONG - From THE FIRST TAKE feat. No No Girls FINALISTS,ちゃんみな,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,68,僕のこと,Mrs.GREEN APPLE,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,69,天国,Mrs.GREEN APPLE,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,70,Don't Say You Love Me,JIN,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,71,STARlighT,Straight Angeli,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,72,瞬き,back number,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,73,LAVALAVA,Number_i,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,74,恋,back number,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,75,青と夏,Mrs.GREEN APPLE,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,76,ハッピーエンド,back number,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,77,Change,HIKKA,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,78,おどるポンポコリン,Ado,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,79,BOW AND ARROW,米津玄師,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,80,チャンカパーナ,NEWS,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,81,GOD_i,Number_i,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,82,正解,RADWIMPS,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,83,チェリー,スピッツ,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,84,オールドファッション,back number,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,85,粉雪,レミオロメン,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,86,SPAGHETTI (feat. j-hope of BTS),LE SSERAFIM,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,87,me me she,RADWIMPS,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,88,PUZZLE,清水翔太,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,89,NOT CUTE ANYMORE,ILLIT,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,90,花束,back number,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,91,かわいいだけじゃだめですか?,CUTIE STREET,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,92,マリーゴールド,あいみょん,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,93,ダンスホール,Mrs.GREEN APPLE,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,94,JUMP,BLACKPINK,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,95,時計,坂本真綾,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,96,怪盗,back number,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,97,B級,ちゃんみな,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,98,Lemon,米津玄師,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,99,ANTENNA,Mrs.GREEN APPLE,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-07,100,DUET,"ジコ,幾田りら",https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=12
2026,hot100,2026-01-14,1,IRIS OUT,米津玄師,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=19
2026,hot100,2026-01-14,2,ROSE,HANA,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=19
2026,hot100,2026-01-14,3,Blue Jeans,HANA,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=19
2026,hot100,2026-01-14,4,東京ジャンクション,SHOW-WA,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=19
2026,hot100,2026-01-14,5,好きすぎて滅!,M!LK,https://www.billboard-japan.com/charts/detail?a=hot100&year=2026&month=01&day=19
