chart_year,chart_code,chart_date,rank,title,artist,source_url
2022,stsongs,2022-01-05,1,一途,King Gnu,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2022&month=01&day=10
2022,stsongs,2022-01-05,2,ベテルギウス,優里,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2022&month=01&day=10
2022,stsongs,2022-01-05,3,残響散歌,Aimer(エメ),https://www.billboard-japan.com/charts/detail?a=stsongs&year=2022&month=01&day=10
2022,stsongs,2022-01-05,4,逆夢,King Gnu,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2022&month=01&day=10
2022,stsongs,2022-01-05,5,なんでもないよ、,マカロニえんぴつ,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2022&month=01&day=10
2022,stsongs,2022-01-05,6,ドライフラワー,優里,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2022&month=01&day=10
2022,stsongs,2022-01-05,7,水平線,back number,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2022&month=01&day=10
2022,stsongs,2022-01-05,8,怪物,YOASOBI,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2022&month=01&day=10
2022,stsongs,2022-01-05,9,Butter,BTS,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2022&month=01&day=10
2022,stsongs,2022-01-05,10,Cry Baby,Official髭男dism,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2022&month=01&day=10
2022,stsongs,2022-01-05,11,ハート,あいみょん,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2022&month=01&day=10
2022,stsongs,2022-01-05,12,Dynamite,BTS,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2022&month=01&day=10
2022,stsongs,2022-01-05,13,夜に駆ける,YOASOBI,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2022&month=01&day=10
2022,stsongs,2022-01-05,14,勿忘,Awesome City Club,https://www.billboard-japan.com/charts/detail?a=stsongs&year=2022&month=01&day=10
