chart_year,chart_code,chart_date,rank,title,artist,source_url
2022,dlsongs,2022-01-05,1,逆夢,King Gnu,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2022&month=01&day=10
2022,dlsongs,2022-01-05,2,残響散歌,Aimer(エメ),https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2022&month=01&day=10
2022,dlsongs,2022-01-05,3,一途,King Gnu,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2022&month=01&day=10
2022,dlsongs,2022-01-05,4,勿忘,Awesome City Club,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2022&month=01&day=10
2022,dlsongs,2022-01-05,5,CITRUS,Da-iCE,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2022&month=01&day=10
2022,dlsongs,2022-01-05,6,明け星,LiSA,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2022&month=01&day=10
2022,dlsongs,2022-01-05,7,きらり,藤井風,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2022&month=01&day=10
2022,dlsongs,2022-01-05,8,ベテルギウス,優里,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2022&month=01&day=10
2022,dlsongs,2022-01-05,9,アルデバラン,AI,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2022&month=01&day=10
2022,dlsongs,2022-01-05,10,群青,YOASOBI,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2022&month=01&day=10
2022,dlsongs,2022-01-05,11,千本桜,Ado,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2022&month=01&day=10
2022,dlsongs,2022-01-05,12,ドライフラワー,優里,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2022&month=01&day=10
2022,dlsongs,2022-01-05,13,アイノカタチ feat.HIDE(GReeeeN),MISIA,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2022&month=01&day=10
2022,dlsongs,2022-01-05,14,阿修羅ちゃん,Ado,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2022&month=01&day=10
2022,dlsongs,2022-01-05,15,君に夢中,宇多田ヒカル,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2022&month=01&day=10
2022,dlsongs,2022-01-05,16,ハート,あいみょん,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2022&month=01&day=10
2022,dlsongs,2022-01-05,17,なないろ,BUMP OF CHICKEN,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2022&month=01&day=10
2022,dlsongs,2022-01-05,18,踊,Ado,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2022&month=01&day=10
2022,dlsongs,2022-01-05,19,魔法の絨毯,川崎鷹也,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2022&month=01&day=10
2022,dlsongs,2022-01-05,20,Mela!,緑黄色社会,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2022&month=01&day=10
2022,dlsongs,2022-01-05,21,liveDevil feat. 木村昴,Da-iCE,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2022&month=01&day=10
2022,dlsongs,2022-01-05,22,おもかげ (produced by Vaundy),milet & Aimer(エメ) & 幾田りら,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2022&month=01&day=10
2022,dlsongs,2022-01-05,23,刻,Petit Brabancon,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2022&month=01&day=10
2022,dlsongs,2022-01-05,24,Cry Baby,Official髭男dism,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2022&month=01&day=10
2022,dlsongs,2022-01-05,25,愛を知るまでは,あいみょん,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2022&month=01&day=10
2022,dlsongs,2022-01-05,26,"Stand by me, Stand by you.",平井大,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2022&month=01&day=10
2022,dlsongs,2022-01-05,27,渇き,Petit Brabancon,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2022&month=01&day=10
2022,dlsongs,2022-01-05,28,OBEY,Petit Brabancon,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2022&month=01&day=10
2022,dlsongs,2022-01-05,29,ライフイズビューティフル,ケツメイシ,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2022&month=01&day=10
2022,dlsongs,2022-01-05,30,燃えよ,藤井風,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2022&month=01&day=10
2022,dlsongs,2022-01-05,31,白銀,LiSA,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2022&month=01&day=10
2022,dlsongs,2022-01-05,32,SMILE〜晴れ渡る空のように〜,桑田佳祐,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2022&month=01&day=10
2022,dlsongs,2022-01-05,33,沈丁花,DISH//,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2022&month=01&day=10
2022,dlsongs,2022-01-05,34,Butter,BTS,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2022&month=01&day=10
2022,dlsongs,2022-01-05,35,廻廻奇譚,Eve,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2022&month=01&day=10
2022,dlsongs,2022-01-05,36,天使のagape,天音かなた,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2022&month=01&day=10
2022,dlsongs,2022-01-05,37,水平線,back number,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2022&month=01&day=10
2022,dlsongs,2022-01-05,38,なんでもないよ、,マカロニえんぴつ,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2022&month=01&day=10
2022,dlsongs,2022-01-05,39,夜に駆ける,YOASOBI,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2022&month=01&day=10
2022,dlsongs,2022-01-05,40,Soulコブラツイスト〜魂の悶絶,桑田佳祐,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2022&month=01&day=10
2022,dlsongs,2022-01-05,41,猫,DISH//,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2022&month=01&day=10
2022,dlsongs,2022-01-05,42,怪物,YOASOBI,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2022&month=01&day=10
2022,dlsongs,2022-01-05,43,もしも命が描けたら,YOASOBI,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2022&month=01&day=10
2022,dlsongs,2022-01-05,44,U,millennium parade × Belle,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2022&month=01&day=10
