chart_year,chart_code,chart_date,rank,title,artist,source_url
2026,dlsongs,2026-01-07,1,IRIS OUT,米津玄師,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2026&month=01&day=12
2026,dlsongs,2026-01-07,2,ファンファーレ,玉置浩二,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2026&month=01&day=12
2026,dlsongs,2026-01-07,3,木星 feat. 稲葉浩志,福山雅治,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2026&month=01&day=12
2026,dlsongs,2026-01-07,4,革命道中,アイナ・ジ・エンド,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2026&month=01&day=12
2026,dlsongs,2026-01-07,5,怪獣,サカナクション,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2026&month=01&day=12
2026,dlsongs,2026-01-07,6,ダーリン,Mrs.GREEN APPLE,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2026&month=01&day=12
2026,dlsongs,2026-01-07,7,時計,坂本真綾,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2026&month=01&day=12
2026,dlsongs,2026-01-07,8,ROSE,HANA,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2026&month=01&day=12
2026,dlsongs,2026-01-07,9,Make Me Wonder,Official髭男dism,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2026&month=01&day=12
2026,dlsongs,2026-01-07,10,GOOD DAY,Mrs.GREEN APPLE,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2026&month=01&day=12
2026,dlsongs,2026-01-07,11,どうしてもどうしても,back number,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2026&month=01&day=12
2026,dlsongs,2026-01-07,12,夢中 - From THE FIRST TAKE,BE:FIRST,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2026&month=01&day=12
2026,dlsongs,2026-01-07,13,Blue Jeans,HANA,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2026&month=01&day=12
2026,dlsongs,2026-01-07,14,夢中,BE:FIRST,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2026&month=01&day=12
2026,dlsongs,2026-01-07,15,好きすぎて滅!,M!LK,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2026&month=01&day=12
2026,dlsongs,2026-01-07,16,JANE DOE,"米津玄師, 宇多田ヒカル",https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2026&month=01&day=12
2026,dlsongs,2026-01-07,16,I Want You Back - From THE FIRST TAKE,BE:FIRST,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2026&month=01&day=12
2026,dlsongs,2026-01-07,18,Almond Chocolate,ILLIT,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2026&month=01&day=12
2026,dlsongs,2026-01-07,19,カリスマックス,Snow Man,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2026&month=01&day=12
2026,dlsongs,2026-01-07,20,倍倍FIGHT!,CANDY TUNE,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2026&month=01&day=12
2026,dlsongs,2026-01-07,21,Tokimeki,Vaundy,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2026&month=01&day=12
2026,dlsongs,2026-01-07,22,恋風,幾田りら,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2026&month=01&day=12
2026,dlsongs,2026-01-07,23,ズー,シャキーラ,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2026&month=01&day=12
2026,dlsongs,2026-01-07,24,新宝島,サカナクション,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2026&month=01&day=12
2026,dlsongs,2026-01-07,25,笑ったり転んだり,ハンバート ハンバート,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2026&month=01&day=12
2026,dlsongs,2026-01-07,26,イイじゃん,M!LK,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2026&month=01&day=12
2026,dlsongs,2026-01-07,27,アドレナ,YOASOBI,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2026&month=01&day=12
2026,dlsongs,2026-01-07,28,正解,RADWIMPS,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2026&month=01&day=12
2026,dlsongs,2026-01-07,29,呼び声,Vaundy,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2026&month=01&day=12
2026,dlsongs,2026-01-07,30,おどるポンポコリン,Ado,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2026&month=01&day=12
2026,dlsongs,2026-01-07,31,ライラック,Mrs.GREEN APPLE,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2026&month=01&day=12
2026,dlsongs,2026-01-07,32,ブルーアンバー,back number,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2026&month=01&day=12
2026,dlsongs,2026-01-07,33,NON STOP,HANA,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2026&month=01&day=12
2026,dlsongs,2026-01-07,34,Golden,HUNTR/X,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2026&month=01&day=12
2026,dlsongs,2026-01-07,35,SAD SONG,ちゃんみな,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2026&month=01&day=12
2026,dlsongs,2026-01-07,36,賜物,RADWIMPS,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2026&month=01&day=12
2026,dlsongs,2026-01-07,37,水平線,back number,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2026&month=01&day=12
2026,dlsongs,2026-01-07,38,Theater,King & Prince,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2026&month=01&day=12
2026,dlsongs,2026-01-07,39,怪獣の花唄,Vaundy,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2026&month=01&day=12
2026,dlsongs,2026-01-07,40,ふめつのあなた,Perfume,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2026&month=01&day=12
2026,dlsongs,2026-01-07,41,シルエット,KANA-BOON,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2026&month=01&day=12
2026,dlsongs,2026-01-07,42,ビーナスベルト,あいみょん,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2026&month=01&day=12
2026,dlsongs,2026-01-07,43,巡ループ,Perfume,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2026&month=01&day=12
2026,dlsongs,2026-01-07,44,SAD SONG - From THE FIRST TAKE feat. No No Girls FINALISTS,ちゃんみな,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2026&month=01&day=12
2026,dlsongs,2026-01-07,45,灯を護る,スピッツ,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2026&month=01&day=12
2026,dlsongs,2026-01-07,46,逆光,坂本真綾,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2026&month=01&day=12
