chart_year,chart_code,chart_date,rank,title,artist,source_url
2019,dlsongs,2019-01-02,1,Lemon,米津玄師,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2019&month=01&day=07
2019,dlsongs,2019-01-02,2,Flamingo,米津玄師,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2019&month=01&day=07
2019,dlsongs,2019-01-02,3,プロローグ,Uru,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2019&month=01&day=07
2019,dlsongs,2019-01-02,4,U.S.A.,DA PUMP,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2019&month=01&day=07
2019,dlsongs,2019-01-02,5,オールドファッション,back number,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2019&month=01&day=07
2019,dlsongs,2019-01-02,6,SUZUNARI,稲垣吾郎,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2019&month=01&day=07
2019,dlsongs,2019-01-02,7,マリーゴールド,あいみょん,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2019&month=01&day=07
2019,dlsongs,2019-01-02,8,Sweet Wanderer,ももいろクローバーZ,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2019&month=01&day=07
2019,dlsongs,2019-01-02,9,クリスマスソング,back number,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2019&month=01&day=07
2019,dlsongs,2019-01-02,10,Blizzard,三浦大知,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2019&month=01&day=07
2019,dlsongs,2019-01-02,11,今夜このまま,あいみょん,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2019&month=01&day=07
2019,dlsongs,2019-01-02,12,アイノカタチ feat.HIDE(GReeeeN),MISIA,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2019&month=01&day=07
2019,dlsongs,2019-01-02,13,千年先もずっと…,千(立花慎之介),https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2019&month=01&day=07
2019,dlsongs,2019-01-02,14,LOSER,米津玄師,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2019&month=01&day=07
2019,dlsongs,2019-01-02,15,Pop Virus,星野源,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2019&month=01&day=07
2019,dlsongs,2019-01-02,16,366日,HY,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2019&month=01&day=07
2019,dlsongs,2019-01-02,17,世界はあなたに笑いかけている,Little Glee Monster,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2019&month=01&day=07
2019,dlsongs,2019-01-02,18,UNION,OxT,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2019&month=01&day=07
2019,dlsongs,2019-01-02,19,僕のこと,Mrs.GREEN APPLE,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2019&month=01&day=07
2019,dlsongs,2019-01-02,20,ADAMAS,LiSA,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2019&month=01&day=07
2019,dlsongs,2019-01-02,21,アンビバレント,欅坂46,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2019&month=01&day=07
2019,dlsongs,2019-01-02,22,half of me,平井堅,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2019&month=01&day=07
2019,dlsongs,2019-01-02,23,ボヘミアン・ラプソディ,クイーン,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2019&month=01&day=07
2019,dlsongs,2019-01-02,24,徒花ネクロマンシー,フランシュシュ,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2019&month=01&day=07
2019,dlsongs,2019-01-02,25,アイデア,星野源,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2019&month=01&day=07
2019,dlsongs,2019-01-02,26,帰り道は遠回りしたくなる,乃木坂46,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2019&month=01&day=07
2019,dlsongs,2019-01-02,27,アイネクライネ,米津玄師,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2019&month=01&day=07
2019,dlsongs,2019-01-02,28,ピースサイン,米津玄師,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2019&month=01&day=07
2019,dlsongs,2019-01-02,29,瞬き,back number,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2019&month=01&day=07
2019,dlsongs,2019-01-02,30,夏恋慕 feat.春茶,Kobasolo,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2019&month=01&day=07
2019,dlsongs,2019-01-02,31,#SINGING,新しい地図 join ミュージック,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2019&month=01&day=07
2019,dlsongs,2019-01-02,32,打上花火,DAOKO × 米津玄師,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2019&month=01&day=07
2019,dlsongs,2019-01-02,33,大不正解,back number,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2019&month=01&day=07
2019,dlsongs,2019-01-02,34,君はロックを聴かない,あいみょん,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2019&month=01&day=07
2019,dlsongs,2019-01-02,35,Hello Song,星野源,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2019&month=01&day=07
2019,dlsongs,2019-01-02,36,仮面ライダー平成ジェネレーションズ FOREVER メドレー D.A. RE-BUILD MIX,仮面ライダー平成ジェネレーションズ,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2019&month=01&day=07
2019,dlsongs,2019-01-02,37,With you 〜Luv merry X'mas〜,EXILE ATSUSHI,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2019&month=01&day=07
2019,dlsongs,2019-01-02,38,シャロウ〜『アリー/ スター誕生』愛のうた,レディー・ガガ、ブラッドリー・クーパー,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2019&month=01&day=07
2019,dlsongs,2019-01-02,39,シグナル,WANIMA,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2019&month=01&day=07
2019,dlsongs,2019-01-02,40,灰色と青(+ 菅田将暉),米津玄師,https://www.billboard-japan.com/charts/detail?a=dlsongs&year=2019&month=01&day=07
